Date,Type,Amount,Temperature,Color,Activity,Duration,Time,CookTime
Saturday,liquid,1/3 bottle,cool,colorless,6,0.3,11:18,0
Saturday,something unexcepted,little,room temp,white,6,3,11:22,0
Saturday,liquid,a sip,room temp,colorless,6,0.3,11:32,0
Saturday,something unexcepted,tiny,room temp,ivory,6,1,11:57,0
Saturday,liquid,1/4 cup,warm,colorless,6,0.1,11:59,0
Saturday,something unexcepted,tiny,warm,ivory,2,0.1,12:13,0
Saturday,liquid,2 sip,room temp,colorless,1,15,12:33,5
Saturday,main course,1,hot,"yellow, little bit green and red",3,20,12:44,5
Saturday,liquid,,cold,brown,4,60,13:08,0
Saturday,liquid,12/31,room temp,colorless,4,0.3,15:15,0
Saturday,liquid,12/31,cold,brown,2,180,15:19,0
Saturday,snack,1 bottle cap,room temp,colorless,2,1,15:58,0
Saturday,liquid,a sip,room temp,colorless,2,2,16:00,0
Saturday,snack,1 bag,room temp,"dark brown
 green ",2,3,18:07,0
Saturday,liquid,1/8,room temp,colorless,2,0.3,18:09,0
Saturday,liquid,1/8,room temp,colorless,1,0.3,18:23,0
Saturday,liquid,a sip,room temp,colorless,2,0.1,19:28,0
Saturday,mix,1 pot,hot,"green, yellow, ivory,
light black",3,30,21:00,30
Saturday,liquid,1/8,room temp,colorless,3,0.3,21:49,0
Saturday,fruit,1 bowl,cool,red yellow lime green,3,20,22:33,5
Saturday,liquid,1/8,room temp,colorless,4,0.3,22:50,0
Saturday,snack,12/31,room temp,white,7,3,22:53,0
Saturday,liquid,a sip,room temp,colorless,7,0.1,22:56,0
Sunday,liquid,1/3,cool,colorless,6,0.3,11:10,0
Sunday,something unexcepted,very little,warm,ivory,6,0.3,11:13,0
Sunday,liquid,1/3,room temp,colorless,6,0.15,11:14,0
Sunday,liquid,"1/4,drink it all",room temp,colorless,1,0.1,11:41,0
Sunday,mix,Halk bowl,hot,"white, 
yellow,
green,
bronze",3,15,12:10,15
Sunday,something unexcepted,very little,room temp,ivory,6,0.5,12:56,0
Sunday,liquid,a sip,warm,colorless,2,1,13:29,0
Sunday,liquid,a cup,cold,brown,7,120,14:00,0
Sunday,snack,one piece,room temp,"yellow
ivory",3,10,16:53,0
Sunday,liquid,a sip,room temp,colorless,7,0.3,16:56,0
Sunday,snack,,room temp,butter,7,5,15:57,0
